id,source_asset_id,atlas_path,frame_index,frame_width,frame_height,coverage,idle,walk_up,walk_down,walk_left,walk_right,run,interaction,portrait,battle,status,license,runtime_enabled
licensed:kenney:tiny-dungeon:tileset:frame-0072,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,72,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0073,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,73,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0074,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,74,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0075,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,75,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0076,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,76,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0077,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,77,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0084,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,84,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0085,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,85,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0086,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,86,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0087,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,87,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0088,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,88,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0089,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,89,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0096,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,96,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0097,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,97,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0098,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,98,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0099,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,99,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0100,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,100,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
licensed:kenney:tiny-dungeon:tileset:frame-0101,licensed:kenney:tiny-dungeon:tileset,content/packs/production-assets/visual/world/tiny-dungeon/tiny-dungeon-tileset-16.png,101,16,16,static-candidate,candidate,missing,missing,missing,missing,missing,missing,missing,missing,approved-source-semantic-pending,CC0-1.0,false
